ap_name,ap_mac,ssid,bssid,radio,channel,is_guest,up
WoStairsY,a8:9c:6c:2e:de:2b,Viam-5G,be:9c:6c:2e:de:2c,na,120,False,True
SoLab,a8:9c:6c:2e:da:2f,Viam-5G,be:9c:6c:2e:da:30,na,165,False,True
EoF3,a8:9c:6c:2e:ef:7e,Viam-5G,be:9c:6c:2e:ef:7f,na,104,False,True
NoElevator,a8:9c:6c:2e:ef:f6,Viam-5G,be:9c:6c:2e:ef:f7,na,140,False,True
EastPantry,a8:9c:6c:2e:d9:4e,Viam-5G,be:9c:6c:2e:d9:4f,na,112,False,True
EoL10,a8:9c:6c:2e:e2:2c,Viam-5G,be:9c:6c:2e:e2:2d,na,149,False,True
SoR6,a8:9c:6c:2e:f8:48,Viam-5G,be:9c:6c:2e:f8:49,na,132,False,True
EoU4,a8:9c:6c:2e:dc:b9,Viam-5G,be:9c:6c:2e:dc:ba,na,149,False,True
Bathroom 1,70:a7:41:65:12:21,Viam-5G,72:a7:41:45:12:23,na,48,False,True
MDF,ac:8b:a9:2a:cc:16,Viam-5G,ae:8b:a9:4a:cc:18,na,40,False,True
Lobby,a8:9c:6c:2e:db:5b,Viam-5G,be:9c:6c:2e:db:5c,na,124,False,True
NoM2,a8:9c:6c:2e:da:c0,Viam-5G,be:9c:6c:2e:da:c1,na,157,False,True
EoF12,a8:9c:6c:2e:db:74,Viam-5G,be:9c:6c:2e:db:75,na,157,False,True
SoA1,8c:30:66:76:30:52,Viam-5G,a2:30:66:76:30:53,na,144,False,True
WoF2,a8:9c:6c:2e:ec:a4,Viam-5G,be:9c:6c:2e:ec:a5,na,132,False,True
SoElevator,a8:9c:6c:2e:dd:a4,Viam-5G,be:9c:6c:2e:dd:a5,na,112,False,True
Bathroom 2,70:a7:41:65:1a:75,Viam-5G,72:a7:41:45:1a:77,na,149,False,True
NoE4,a8:9c:6c:2e:d9:f8,Viam-5G,be:9c:6c:2e:d9:f9,na,165,False,True
NoT2,a8:9c:6c:2e:da:7a,Viam-5G,be:9c:6c:2e:da:7b,na,64,False,True
EoL8,a8:9c:6c:2e:dd:40,Viam-5G,be:9c:6c:2e:dd:41,na,104,False,True
"Cafe, WoH1",a8:9c:6c:2e:d9:ee,Viam-5G,be:9c:6c:2e:d9:ef,na,44,False,True
WoLab,a8:9c:6c:2e:f4:1a,Viam-5G,be:9c:6c:2e:f4:1b,na,64,False,True
